#iteration	MRG	ARG	MRR	ARR	GRF	MRO	ARO
0	24129511.3	24129511.3	25856601.05	25856601.05	25856601.05	25856601.05	25856601.05
5	22153418.58	23774026.43	21754131.66	25084366.85	24644614.83	24975983.78	25855748.23
10	22447273.96	23412780.58	22209865.3	24329123.38	24129511.3	24526142.95	25854634.46
20	22579903.06	22890111.47	22570332.75	23263369.11	23783042.32	24348961.11	25852280.92
30	22540865.36	22573096.14	22566603.73	22643756.65	23718696.92	24299897.55	25849833.62
40	22512677.06	22383113.11	22521554.53	22288046.69	23707112.5	24265836.63	25847324.36
50	22500254.26	22267812.95	22506462.15	22082215.76	23704983.7	24245506.72	25844757.32
60	22490617.07	22195894.73	22498831.27	21960868.82	23704562.28	24232104.26	25842128.93
70	22482448.64	22149156.33	22490373.36	21887230.55	23704462.17	24225466.26	25839432.71
80	22473679.64	22117123.79	22481107.16	21840782.89	23704429.72	24220427.54	25836660.95
90	22444715.38	22093813.22	22469197.95	21810053.79	23704415.37	24225296.15	25833804.77
100	22409949.79	22075829.08	22437608.43	21788612.39	23704407.77	24239038.6	25830855.97
