#iteration	MRG	ARG	MRR	ARR	GRF	MRO	ARO
0	22570415.45	22570415.45	22648522.24	22648522.24	22648522.24	22648522.24	22648522.24
5	19529470.41	22463517.2	19398973.87	22488625.67	22597426.55	22592246.24	22640833.92
10	19249186.39	22328096.04	19172763.39	22304087.71	22570415.45	22540358.36	22631337.91
20	19508759.28	22053899.47	19479719.14	21950064.85	22498512.49	22323777.6	22598975.14
30	19657735.77	21793051.17	19647746.15	21631162.64	22424179.58	22225689.01	22500572.51
40	19729151.99	21552425.33	19574757	21347874.61	22358497.35	22203396.95	22398883.24
50	19693100.07	21333026.47	19629342.2	21097138.72	22304582.43	22194330.68	22334981.92
60	19668966.8	21134073.6	19564862.18	20875400.51	22262105.46	22194838.16	22301546.84
70	19794125.62	20954169.88	19600172.53	20679268.24	22229466.94	22199473.96	22290583.02
80	19718204.91	20791701.08	19640154.42	20505672.36	22204789.61	22199704.69	22289365.77
90	19695425.41	20645068.75	19785275.23	20351894.49	22186331.95	22201246.28	22297749.69
100	19695626.89	20512745.87	19789859.28	20215546.45	22172628.17	22203332.88	22310391.36
