#iteration	MRG	ARG	MRR	ARR	GRF	MRO	ARO
0	70803.397570	70803.397570	115121.923373	115121.923373	84185.500000	115121.923373	115121.923373
5	6762.223762	1476.279942	15707.164293	2458.151833	78352.174388	76508.443718	88339.760288
10	15790.545353	1086.573746	18544.852107	810.253265	70803.397570	69718.661415	87403.171983
20	23646.803987	663.798186	24140.467070	84.329246	52650.903213	61201.793611	86142.006972
30	25266.225363	456.036390	28141.349966	8.935063	36589.124337	57550.095400	85247.125104
40	25820.454840	331.389113	30202.744135	1.010063	24795.207290	55960.602201	84496.950260
50	26665.649105	248.341694	31021.833599	0.122739	16839.514879	55362.706878	83781.340451
60	27431.824337	191.176728	31168.244081	0.016503	11684.450132	55211.887781	83022.903538
70	28067.820287	151.991282	31218.255215	0.003087	8396.560114	55149.717210	82153.473721
80	28521.698904	125.845159	31144.065632	0.001316	6301.638594	55092.209732	81106.159119
90	28866.791127	109.259619	31006.396689	0.001066	4955.806425	55047.279441	79814.376685
100	29230.583535	99.555906	30915.210809	0.001021	4079.383588	54989.654213	78227.387224
